frame,timestamp,skipped,person_id,detection_confidence,bbox_x,bbox_y,bbox_width,bbox_height,posture_label,posture_points,posture_confidence,gaze_label,gaze_points,gaze_confidence,hand_movement_label,hand_movement_points,hand_movement_confidence,facial_expression_label,facial_expression_points,facial_expression_confidence,total_points
frame_00000.png,0.0,True,,,,,,,,,,,,,,,,,,,
frame_00001.png,0.317,True,,,,,,,,,,,,,,,,,,,
frame_00002.png,0.634,True,,,,,,,,,,,,,,,,,,,
frame_00003.png,0.951,True,,,,,,,,,,,,,,,,,,,
frame_00004.png,1.268,True,,,,,,,,,,,,,,,,,,,
frame_00005.png,1.585,True,,,,,,,,,,,,,,,,,,,
frame_00006.png,1.902,True,,,,,,,,,,,,,,,,,,,
frame_00007.png,2.219,True,,,,,,,,,,,,,,,,,,,
frame_00008.png,2.536,True,,,,,,,,,,,,,,,,,,,
frame_00009.png,2.853,True,,,,,,,,,,,,,,,,,,,
frame_00010.png,3.17,True,,,,,,,,,,,,,,,,,,,
frame_00011.png,3.487,True,,,,,,,,,,,,,,,,,,,
frame_00012.png,3.804,True,,,,,,,,,,,,,,,,,,,
frame_00013.png,4.121,True,,,,,,,,,,,,,,,,,,,
frame_00014.png,4.438,True,,,,,,,,,,,,,,,,,,,
frame_00015.png,4.755,True,,,,,,,,,,,,,,,,,,,
frame_00016.png,5.072,True,,,,,,,,,,,,,,,,,,,
frame_00017.png,5.389,True,,,,,,,,,,,,,,,,,,,
frame_00018.png,5.706,True,,,,,,,,,,,,,,,,,,,
frame_00019_person.png,6.023,False,0,0.511,804,209,616,871,"Upright, Centered",25,0.608,Eye Contact (Camera) 50-80%,20,0.539,"Used gestures (e.g., open_palm)",25,0.515,"Engaged (e.g., smile, neutral)",20,0.845,90
frame_00020_person.png,6.34,False,0,0.527,793,214,599,866,"Upright, Centered",25,0.608,Looking Down (Notes) > 20%,5,0.409,"Used gestures (e.g., open_palm)",25,0.629,"Engaged (e.g., smile, neutral)",20,0.9,75
frame_00021_person.png,6.657,False,0,0.548,789,217,589,863,"Upright, Centered",25,0.565,Eye Contact (Camera) 50-80%,20,0.487,"Used gestures (e.g., open_palm)",25,0.579,"Engaged (e.g., smile, neutral)",20,0.853,90
frame_00022_person.png,6.974,False,0,0.566,780,214,601,866,"Upright, Centered",25,0.568,Eye Contact (Camera) 50-80%,20,0.53,"Used gestures (e.g., open_palm)",25,0.506,"Engaged (e.g., smile, neutral)",20,0.839,90
frame_00023_person.png,7.291,False,0,0.582,776,216,611,864,"Upright, Centered",25,0.543,Eye Contact (Camera) 50-80%,20,0.662,"No gestures (e.g., hands in pockets)",10,0.522,"Engaged (e.g., smile, neutral)",20,0.755,75
frame_00024_person.png,7.608,False,0,0.595,775,217,604,863,"Upright, Centered",25,0.596,Eye Contact (Camera) 50-80%,20,0.664,"No gestures (e.g., hands in pockets)",10,0.588,"Engaged (e.g., smile, neutral)",20,0.646,75
frame_00025_person.png,7.925,False,0,0.609,771,216,599,864,"Upright, Centered",25,0.505,Eye Contact (Camera) 50-80%,20,0.607,"No gestures (e.g., hands in pockets)",10,0.7,"Disengaged (e.g., frown)",5,0.55,60
frame_00026_person.png,8.242,False,0,0.623,768,216,584,864,"Upright, Centered",25,0.529,Looking Down (Notes) > 20%,5,0.41,"Used gestures (e.g., open_palm)",25,0.89,"Engaged (e.g., smile, neutral)",20,0.715,75
